cover,elev,tci,streamdist,disturb,beers
5,352.1,4.38337517,128.1,LT-SEL,0.13132447
9,526.4,8.25389004,223.6,SETTLE,0.46192941
9,565.3,3.60729504,560.4,SETTLE,0.01103224
5,615.2,4.56351614,503.3,CORPLOG,0.58080691
1,578.2,8.48253059,457.9,CORPLOG,0.35673663
7,376.4,12.55,20,CORPLOG,0.61370921
6,407.6,5.54437208,170.3,CORPLOG,0.72769904
9,403.2,5.53664684,128.1,CORPLOG,1.21641386
2,389.1,8.76318359,30,CORPLOG,1.17887866
9,444.3,7.50882721,0,CORPLOG,1.57979429
8,301.6,5.40006924,957.5,LT-SEL,0.81457144
8,414,8.91287422,72.11,CORPLOG,1.10765398
9,266.7,9.18743038,645.6,LT-SEL,0.99610078
9,294,4.97123289,553.6,LT-SEL,1.23914731
4,283.6,7.5401268,234.1,LT-SEL,1.94689631
6,542,6.92999887,432.7,SETTLE,0.24556172
9,544.1,5.79644585,502.2,SETTLE,1.52776837
9,539.9,4.75019789,471,SETTLE,1.08705258
4,541.4,7.01022387,466.5,SETTLE,0.08437267
4,541.1,7.91147089,446.5,SETTLE,0.46330348
5,544.1,6.66943598,398.2,SETTLE,1.41355217
5,543.3,6.1997962,492.4,SETTLE,0.31048426
5,544.1,6.66943598,398.2,SETTLE,1.41355217
5,543.3,6.1997962,492.4,SETTLE,0.31048426
2,550.7,5.81284523,141.4,SETTLE,1.50991607
2,551.4,5.55141211,138.9,SETTLE,1.15315318
2,550.7,5.81284523,141.4,SETTLE,1.50991607
2,551.4,5.55141211,138.9,SETTLE,1.15315318
4,557.6,10.21,10,SETTLE,0.03650986
5,547.5,8.6886034,310.2,SETTLE,0.17736255
9,544.6,7.94175386,165.5,SETTLE,0.02136434
9,546.4,6.42680311,238.5,SETTLE,1.66489065
4,544.6,7.94175386,165.5,SETTLE,0.02136434
4,546.4,6.42680311,238.5,SETTLE,1.66489065
6,560.7,9.52658463,14.14,SETTLE,0.02793757
6,560.8,13.69,22.36,SETTLE,0.00157059
6,560.7,9.52658463,14.14,SETTLE,0.02793757
6,560.8,13.69,22.36,SETTLE,0.00157059
1,574.9,6.78551006,10,SETTLE,0.20727427
1,575.5,7.93383789,10,SETTLE,0.03299378
2,574.9,6.78551006,10,SETTLE,0.20727427
2,575.5,7.93383789,10,SETTLE,0.03299378
3,572.8,7.62810993,22.36,SETTLE,0.03176557
3,572.7,7.86442184,10,SETTLE,1.19491804
6,572.8,7.62810993,22.36,SETTLE,0.03176557
6,572.7,7.86442184,10,SETTLE,1.19491804
2,734.6,7.93976402,162.8,LT-SEL,0.00156734
2,642,11.77,30,LT-SEL,0.23307547
5,734.6,7.93976402,162.8,LT-SEL,0.00156734
5,642,11.77,30,LT-SEL,0.23307547
9,575.9,8.24578762,100,SETTLE,0.9884721
9,686.2,4.92977715,161.2,LT-SEL,1.99187672
9,568.4,5.62893295,152.6,SETTLE,1.98129249
7,686.2,4.92977715,161.2,LT-SEL,1.99187672
7,568.4,5.62893295,152.6,SETTLE,1.98129249
6,655.2,10.57,120,LT-SEL,0.89269853
6,656.8,5.12628078,170.3,LT-SEL,1.4825213
5,655.2,10.57,120,LT-SEL,0.89269853
5,656.8,5.12628078,170.3,LT-SEL,1.4825213
5,541.9,7.33280897,0,LT-SEL,1.96483958
5,582,7.00764608,287.9,SETTLE,0.00125724
3,541.9,7.33280897,0,LT-SEL,1.96483958
3,582,7.00764608,287.9,SETTLE,0.00125724
8,612.6,25,14.14,LT-SEL,1.55678284
9,639.4,5.7957592,84.85,LT-SEL,0.00145035
5,587.1,6.15322685,89.44,SETTLE,1.29886603
8,585.7,5.99898481,145.6,SETTLE,1.93316519
8,575.3,6.8580761,36.06,SETTLE,1.25218511
6,585.7,5.99898481,145.6,SETTLE,1.93316519
6,575.3,6.8580761,36.06,SETTLE,1.25218511
5,561.2,7.04439116,67.08,SETTLE,1.99568403
5,561.2,7.04439116,67.08,SETTLE,1.99568403
6,561.2,7.04439116,67.08,SETTLE,1.99568403
6,561.2,7.04439116,67.08,SETTLE,1.99568403
8,533,7.59922695,281.6,CORPLOG,0.04021897
4,564.6,5.26179314,150,SETTLE,0.18374863
4,564.4,5.37112284,172,SETTLE,0.1506182
2,564.6,5.26179314,150,SETTLE,0.18374863
2,564.4,5.37112284,172,SETTLE,0.1506182
5,564.9,5.35143995,63.25,SETTLE,0.12554877
5,564.9,5.35143995,63.25,SETTLE,0.12554877
4,564.9,5.35143995,63.25,SETTLE,0.12554877
4,564.9,5.35143995,63.25,SETTLE,0.12554877
4,729.3,11.95,10,LT-SEL,1.18634629
5,1198,5.05267286,320,VIRGIN,0.51815426
5,1227,5.43648815,131.5,VIRGIN,0.22897214
2,1198,5.05267286,320,VIRGIN,0.51815426
2,1227,5.43648815,131.5,VIRGIN,0.22897214
9,1069,4.48374319,460,LT-SEL,0.98173082
9,1100,4.20749187,510.1,VIRGIN,1.08938849
7,1069,4.48374319,460,LT-SEL,0.98173082
7,1100,4.20749187,510.1,VIRGIN,1.08938849
4,1016,5.26976299,371.1,LT-SEL,1.89836729
6,835,12.85,20,LT-SEL,1.24775505
6,849.2,5.58167601,50,LT-SEL,0.86523265
6,835,12.85,20,LT-SEL,1.24775505
6,849.2,5.58167601,50,LT-SEL,0.86523265
6,1206,5.73453093,270,VIRGIN,1.9943167
7,1160,5.17023802,406.1,VIRGIN,0.41092247
7,1164,5.09605789,384.7,VIRGIN,0.46731254
